seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.37,0.17,0.37,0.17
630,0.97,0.06,0.97,0.06
660,1.00,0.00,1.00,0.00
690,1.00,0.00,1.00,0.00
720,1.00,0.00,1.00,0.00
750,1.00,0.00,1.00,0.00
780,1.00,0.00,1.00,0.00
810,1.00,0.00,1.00,0.00
840,1.00,0.00,1.00,0.00
870,1.00,0.00,1.00,0.00
900,1.00,0.00,1.00,0.00
930,1.00,0.00,1.00,0.00
960,1.00,0.00,1.00,0.00
990,1.00,0.00,1.00,0.00
1020,1.00,0.00,1.00,0.00
1050,1.00,0.00,1.00,0.00
1080,1.00,0.00,1.00,0.00
1110,1.00,0.00,1.00,0.00
1140,1.00,0.00,1.00,0.00
1170,1.00,0.00,1.00,0.00
1200,1.00,0.00,1.00,0.00
1230,1.00,0.00,1.00,0.00
1260,1.00,0.00,1.00,0.00
1290,1.00,0.00,1.00,0.00
1320,1.00,0.00,1.00,0.00
1350,1.00,0.00,1.00,0.00
1380,1.00,0.00,1.00,0.00
1410,1.00,0.00,1.00,0.00
1440,1.00,0.00,1.00,0.00
1470,1.00,0.00,1.00,0.00
1500,1.00,0.00,1.00,0.00
1530,1.00,0.00,1.00,0.00
1560,1.00,0.00,1.00,0.00
1590,1.00,0.00,1.00,0.00
1620,1.00,0.00,1.00,0.00
1650,1.00,0.00,1.00,0.00
1680,1.00,0.00,1.00,0.00
1710,1.00,0.00,1.00,0.00
1740,1.00,0.00,1.03,0.06
1770,1.00,0.00,1.03,0.06
1800,1.00,0.00,1.03,0.06
1830,1.00,0.00,1.07,0.09
1860,1.00,0.00,1.07,0.09
1890,1.00,0.00,1.07,0.09
1920,1.00,0.00,1.07,0.09
1950,1.00,0.00,1.07,0.09
1980,1.00,0.00,1.07,0.09
2010,1.00,0.00,1.07,0.09
2040,1.07,0.09,1.23,0.15
2070,1.07,0.09,1.53,0.18
2100,1.10,0.11,1.77,0.15
2130,1.13,0.12,1.87,0.12
2160,1.13,0.12,1.97,0.06
2190,1.13,0.12,2.03,0.06
2220,1.13,0.12,2.03,0.06
2250,1.13,0.12,2.07,0.09
2280,1.13,0.12,2.07,0.09
2310,1.13,0.12,2.07,0.09
2340,1.13,0.12,2.10,0.11
2370,1.13,0.12,2.27,0.16
2400,1.20,0.14,2.43,0.18
2430,1.23,0.15,2.57,0.18
2460,1.27,0.16,2.77,0.15
2490,1.27,0.16,2.87,0.12
2520,1.27,0.16,2.97,0.06
2550,1.30,0.16,3.00,0.09
2580,1.30,0.16,3.03,0.11
2610,1.30,0.16,3.03,0.11
2640,1.30,0.16,3.03,0.11
2670,1.30,0.16,3.03,0.11
2700,1.30,0.16,3.17,0.13
2730,1.30,0.16,3.33,0.17
2760,1.30,0.16,3.47,0.18
2790,1.30,0.16,3.73,0.16
2820,1.30,0.16,3.80,0.14
2850,1.30,0.16,3.90,0.11
2880,1.30,0.16,3.93,0.09
2910,1.33,0.17,4.00,0.09
2940,1.33,0.17,4.00,0.09
2970,1.33,0.17,4.00,0.09
3000,1.33,0.17,4.03,0.11
3030,1.37,0.17,4.17,0.13
3060,1.37,0.17,4.33,0.17
3090,1.37,0.17,4.43,0.18
3120,1.37,0.17,4.70,0.16
3150,1.37,0.17,4.77,0.15
3180,1.40,0.18,4.83,0.13
3210,1.40,0.18,4.87,0.12
3240,1.40,0.18,4.97,0.11
3270,1.40,0.18,5.00,0.09
3300,1.40,0.18,5.00,0.09
3330,1.40,0.18,5.00,0.09
3360,1.40,0.18,5.10,0.14
3390,1.40,0.18,5.23,0.15
3420,1.40,0.18,5.37,0.17
3450,1.43,0.18,5.57,0.18
3480,1.47,0.18,5.77,0.15
3510,1.47,0.18,5.80,0.14
3540,1.47,0.18,5.90,0.14
3570,1.47,0.18,5.93,0.13
3600,1.53,0.20,6.93,0.13

time +odiff>0:
297.93 (+/- 1.29) min=292
+odiff_times=[299, 297, 292, 293, 295, 305, 297, 303, 297, 305, 295, 293, 295, 296, 298, 297, 299, 299, 299, 294, 298, 297, 301, 298, 295, 304, 299, 296, 306, 296]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf']
#odiffs=[1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1]
#ddiffs=[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7]
