seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.87,0.12,0.87,0.12
90,2.00,0.00,3.37,0.35
120,2.00,0.00,6.00,0.00
150,2.00,0.00,6.00,0.00
180,2.00,0.00,6.00,0.00
210,2.00,0.00,6.00,0.00
240,2.00,0.00,6.00,0.00
270,2.00,0.00,6.00,0.00
300,2.00,0.00,6.00,0.00
330,2.00,0.00,6.00,0.00
360,2.00,0.00,6.00,0.00
390,2.00,0.00,6.00,0.00
420,2.00,0.00,6.00,0.00
450,2.00,0.00,6.00,0.00
480,2.00,0.00,6.00,0.00
510,2.00,0.00,6.00,0.00
540,2.00,0.00,6.00,0.00
570,2.00,0.00,6.00,0.00
600,2.00,0.00,6.00,0.00

time +odiff>0:
56.97 (+/- 0.76) min=54
+odiff_times=[56, 54, 56, 56, 55, 56, 61, 60, 56, 57, 54, 56, 55, 59, 59, 55, 57, 55, 57, 56, 57, 61, 56, 57, 57, 56, 59, 54, 61, 61]
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
