seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.00,0.00,0.00,0.00
660,0.00,0.00,0.00,0.00
690,0.00,0.00,0.13,0.12
720,0.00,0.00,0.13,0.12
750,0.00,0.00,0.13,0.12
780,0.00,0.00,0.13,0.12
810,0.00,0.00,0.13,0.12
840,0.00,0.00,0.13,0.12
870,0.00,0.00,0.13,0.12
900,0.00,0.00,0.13,0.12
930,0.00,0.00,0.13,0.12
960,0.00,0.00,0.13,0.12
990,0.00,0.00,0.13,0.12
1020,0.13,0.12,0.70,0.23
1050,0.23,0.15,0.97,0.20
1080,0.27,0.16,1.07,0.16
1110,0.27,0.16,1.13,0.12
1140,0.27,0.16,1.13,0.12
1170,0.27,0.16,1.13,0.12
1200,0.27,0.16,1.13,0.12
1230,0.27,0.16,1.13,0.12
1260,0.27,0.16,1.13,0.12
1290,0.27,0.16,1.13,0.12
1320,0.27,0.16,1.27,0.18
1350,0.30,0.16,1.57,0.24
1380,0.40,0.20,1.80,0.21
1410,0.40,0.20,2.00,0.18
1440,0.43,0.20,2.03,0.17
1470,0.43,0.20,2.10,0.14
1500,0.43,0.20,2.10,0.14
1530,0.43,0.20,2.10,0.14
1560,0.43,0.20,2.10,0.14
1590,0.43,0.20,2.10,0.14
1620,0.43,0.20,2.10,0.14
1650,0.50,0.24,2.33,0.23
1680,0.50,0.24,2.57,0.24
1710,0.57,0.26,2.70,0.23
1740,0.63,0.27,2.87,0.22
1770,0.67,0.28,3.03,0.17
1800,0.67,0.28,3.10,0.14
1830,0.67,0.28,3.10,0.14
1860,0.67,0.28,3.10,0.14
1890,0.67,0.28,3.10,0.14
1920,0.67,0.28,3.10,0.14
1950,0.67,0.28,3.10,0.14
1980,0.70,0.31,3.30,0.21
2010,0.73,0.32,3.47,0.22
2040,0.73,0.32,3.57,0.24
2070,0.80,0.33,3.77,0.24
2100,0.80,0.33,4.00,0.18
2130,0.83,0.33,4.03,0.17
2160,0.87,0.33,4.10,0.14
2190,0.87,0.33,4.10,0.14
2220,0.87,0.33,4.10,0.14
2250,0.87,0.33,4.10,0.14
2280,0.87,0.33,4.10,0.14
2310,0.87,0.33,4.20,0.19
2340,0.87,0.33,4.37,0.20
2370,0.87,0.33,4.53,0.22
2400,0.90,0.34,4.73,0.24
2430,0.97,0.36,4.90,0.21
2460,0.97,0.36,4.93,0.21
2490,0.97,0.36,5.03,0.17
2520,0.97,0.36,5.07,0.16
2550,0.97,0.36,5.07,0.16
2580,0.97,0.36,5.10,0.14
2610,0.97,0.36,5.10,0.14
2640,0.97,0.36,5.20,0.19
2670,1.07,0.34,5.33,0.19
2700,1.07,0.34,5.57,0.20
2730,1.13,0.33,5.73,0.24
2760,1.13,0.33,5.87,0.22
2790,1.17,0.35,5.90,0.21
2820,1.17,0.35,5.97,0.20
2850,1.23,0.33,6.03,0.17
2880,1.23,0.33,6.03,0.17
2910,1.23,0.33,6.07,0.16
2940,1.23,0.33,6.10,0.14
2970,1.23,0.33,6.20,0.19
3000,1.23,0.33,6.30,0.19
3030,1.23,0.33,6.47,0.20
3060,1.27,0.33,6.70,0.23
3090,1.27,0.33,6.77,0.24
3120,1.27,0.33,6.83,0.23
3150,1.30,0.36,6.90,0.21
3180,1.33,0.36,7.00,0.18
3210,1.33,0.36,7.03,0.17
3240,1.33,0.36,7.07,0.16
3270,1.37,0.36,7.13,0.18
3300,1.43,0.34,7.23,0.18
3330,1.43,0.34,7.30,0.19
3360,1.50,0.34,7.47,0.20
3390,1.53,0.34,7.67,0.23
3420,1.53,0.34,7.80,0.23
3450,1.53,0.34,7.80,0.23
3480,1.53,0.34,7.83,0.23
3510,1.53,0.34,7.97,0.20
3540,1.53,0.34,8.03,0.17
3570,1.53,0.34,8.03,0.17
3600,1.57,0.34,8.10,0.17

time +odiff>0:
2155.40 (+/- 343.76) min=996
+odiff_times=[2657, 1345, 1036, 1050, 1061, 2825, 2829, 2145, 1374, 3271, 1686, 2719, 3600, 999, 2658, 2729, 3600, 1363, 2043, 1001, 3600, 1001, 2649, 1436, 3600, 3343, 1720, 1038, 996, 3288]
#odiffs=[1, 2, 2, 2, 1, 1, 2, 2, 4, 2, 2, 1, 0, 1, 1, 1, 0, 2, 2, 3, 0, 3, 1, 3, 0, 1, 2, 2, 2, 1]
#ddiffs=[8, 8, 8, 8, 8, 8, 8, 7, 8, 9, 8, 9, 8, 9, 8, 8, 8, 8, 8, 9, 8, 8, 7, 8, 8, 8, 8, 9, 8, 8]
