seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,12.70,0.73
60,0.00,0.00,24.13,0.81
90,0.00,0.00,33.93,1.01
120,0.00,0.00,42.00,1.06
150,0.00,0.00,51.83,1.33
180,0.00,0.00,62.17,1.92
210,0.00,0.00,72.10,2.03
240,0.00,0.00,80.93,2.15
270,0.00,0.00,89.07,2.28
300,0.00,0.00,97.77,2.40
330,0.00,0.00,107.43,2.10
360,0.00,0.00,116.17,2.23
390,0.00,0.00,124.23,2.38
420,0.00,0.00,131.57,2.89
450,0.00,0.00,138.93,3.20
480,0.00,0.00,145.83,3.27
510,0.00,0.00,152.27,3.70
540,0.00,0.00,158.27,3.79
570,0.00,0.00,163.37,3.99
600,0.00,0.00,169.40,4.07

time +odiff>0:
600.00 (+/- 0.00) min=600
+odiff_times=[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]
+odiff_src=['alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf']
#odiffs=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#ddiffs=[169, 156, 163, 181, 162, 178, 186, 158, 188, 166, 161, 171, 165, 165, 178, 167, 174, 176, 150, 158, 158, 165, 164, 188, 155, 189, 193, 166, 157, 175]
