seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.13,0.12,0.27,0.21
60,0.23,0.15,0.43,0.24
90,0.33,0.17,0.60,0.25
120,0.50,0.20,0.93,0.33
150,0.53,0.20,1.03,0.35
180,0.67,0.25,1.43,0.56
210,0.90,0.27,2.17,0.67
240,1.07,0.28,3.23,0.92
270,1.10,0.28,3.93,1.10
300,1.27,0.29,4.70,1.23
330,1.43,0.26,5.90,1.41
360,1.57,0.26,6.60,1.49
390,1.63,0.22,7.03,1.47
420,1.70,0.19,7.87,1.41
450,1.70,0.19,8.50,1.52
480,1.87,0.12,9.43,1.59
510,1.87,0.12,9.93,1.59
540,1.90,0.11,10.57,1.64
570,1.90,0.11,11.40,1.69
600,1.93,0.09,12.27,1.69

time +odiff>0:
173.47 (+/- 46.27) min=1
+odiff_times=[5, 238, 100, 314, 316, 63, 59, 31, 204, 140, 194, 81, 392, 271, 18, 110, 373, 40, 387, 109, 103, 167, 318, 454, 11, 197, 82, 1, 238, 188]
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[18, 13, 8, 12, 9, 14, 15, 17, 9, 21, 18, 12, 8, 3, 20, 7, 6, 13, 14, 11, 16, 3, 7, 11, 16, 19, 13, 16, 10, 9]
