seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.67,0.19,1.20,0.30
60,0.87,0.15,1.57,0.37
90,1.03,0.11,2.17,0.61
120,1.13,0.12,2.73,0.68
150,1.27,0.16,4.10,0.69
180,1.37,0.17,5.43,0.76
210,1.50,0.18,6.80,0.90
240,1.60,0.18,8.17,1.07
270,1.70,0.16,9.20,1.08
300,1.73,0.16,10.23,1.03
330,1.77,0.15,11.70,1.07
360,1.83,0.13,13.87,1.18
390,1.97,0.06,15.47,1.02
420,1.97,0.06,16.83,0.92
450,2.00,0.00,18.00,0.85
480,2.00,0.00,19.00,0.74
510,2.00,0.00,19.73,0.81
540,2.00,0.00,20.23,0.80
570,2.00,0.00,20.87,0.78
600,2.00,0.00,21.30,0.82

time +odiff>0:
7.63 (+/- 0.22) min=7
+odiff_times=[7, 7, 8, 7, 7, 8, 7, 8, 8, 7, 8, 8, 9, 8, 7, 8, 7, 8, 7, 7, 7, 7, 8, 8, 7, 8, 9, 8, 8, 8]
+odiff_src=['spf', 'alf=spf', 'spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf']
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[21, 19, 22, 24, 24, 23, 19, 21, 24, 18, 23, 18, 21, 25, 19, 18, 23, 19, 23, 26, 23, 20, 23, 19, 23, 18, 20, 22, 19, 22]
