seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.03,0.06,4.33,0.51
60,0.23,0.18,7.40,0.70
90,0.37,0.20,9.93,0.74
120,0.53,0.22,12.17,0.80
150,0.60,0.24,14.07,0.81
180,0.67,0.27,16.47,0.88
210,0.93,0.31,19.00,1.13
240,1.03,0.31,21.30,1.06
270,1.23,0.30,23.00,1.19
300,1.33,0.28,24.43,1.28
330,1.50,0.26,25.47,1.22
360,1.67,0.21,26.73,1.30
390,1.70,0.21,27.77,1.26
420,1.77,0.20,28.50,1.18
450,1.80,0.17,29.40,1.15
480,1.80,0.17,29.90,1.19
510,1.90,0.14,30.33,1.26
540,1.97,0.06,30.73,1.23
570,1.97,0.06,31.20,1.26
600,2.00,0.00,31.97,1.06

time +odiff>0:
184.93 (+/- 46.66) min=24
+odiff_times=[69, 279, 52, 196, 292, 347, 230, 338, 435, 24, 535, 77, 54, 247, 85, 107, 322, 32, 120, 260, 307, 199, 96, 267, 146, 73, 31, 39, 106, 183]
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[32, 29, 36, 29, 35, 30, 32, 30, 29, 37, 35, 36, 35, 32, 31, 33, 35, 24, 32, 28, 35, 31, 34, 31, 31, 30, 34, 29, 35, 29]
