seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,1.00,0.00
90,0.00,0.00,1.23,0.15
120,0.00,0.00,2.00,0.00
150,0.00,0.00,2.00,0.00
180,0.60,0.18,4.10,0.34
210,1.00,0.00,8.97,0.06
240,1.00,0.00,9.00,0.00
270,1.00,0.00,9.00,0.00
300,1.00,0.00,9.00,0.00
330,1.00,0.00,9.00,0.00
360,1.00,0.00,9.00,0.00
390,1.00,0.00,9.00,0.00
420,1.00,0.00,9.00,0.00
450,1.00,0.00,9.00,0.00
480,1.00,0.00,9.00,0.00
510,1.00,0.00,9.00,0.00
540,1.00,0.00,9.00,0.00
570,1.00,0.00,9.00,0.00
600,1.00,0.00,9.00,0.00

time +odiff>0:
182.37 (+/- 1.96) min=177
+odiff_times=[184, 178, 181, 178, 182, 193, 193, 181, 179, 178, 177, 180, 184, 192, 179, 179, 179, 180, 180, 179, 195, 181, 179, 180, 179, 180, 178, 193, 191, 179]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
