seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.03,0.06
60,0.00,0.00,0.30,0.16
90,0.00,0.00,0.97,0.27
120,0.07,0.09,1.80,0.21
150,0.17,0.13,2.27,0.31
180,0.33,0.17,3.00,0.49
210,0.53,0.18,4.90,0.52
240,0.97,0.06,9.73,0.55
270,1.00,0.00,10.57,0.49
300,1.00,0.00,11.17,0.41
330,1.00,0.00,11.57,0.38
360,1.03,0.06,11.73,0.36
390,1.03,0.06,12.13,0.38
420,1.07,0.09,12.60,0.39
450,1.07,0.09,12.77,0.39
480,1.07,0.09,12.97,0.34
510,1.13,0.12,13.23,0.35
540,1.13,0.12,13.43,0.38
570,1.17,0.13,13.63,0.33
600,1.23,0.18,13.83,0.37

time +odiff>0:
186.87 (+/- 12.30) min=92
+odiff_times=[205, 203, 210, 101, 172, 212, 138, 207, 211, 190, 216, 164, 177, 140, 205, 163, 161, 137, 208, 212, 92, 206, 211, 209, 215, 208, 208, 223, 208, 194]
+odiff_src=['afl', 'afl', 'alf=spf', 'afl', 'afl', 'spf', 'afl', 'spf', 'spf', 'afl', 'spf', 'afl', 'afl', 'afl', 'spf', 'afl', 'afl', 'afl', 'spf', 'spf', 'afl', 'alf=spf', 'afl', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'afl']
#odiffs=[1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]
#ddiffs=[13, 14, 13, 15, 15, 12, 15, 14, 14, 15, 14, 13, 14, 16, 14, 15, 14, 14, 14, 12, 13, 12, 14, 15, 15, 12, 14, 13, 13, 14]
