seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,1.00,0.00,1.00,0.00
60,1.00,0.00,1.00,0.00
90,1.00,0.00,1.77,0.15
120,1.00,0.00,2.00,0.00
150,1.00,0.00,2.00,0.00
180,1.00,0.00,2.03,0.06
210,1.00,0.00,3.00,0.00
240,1.00,0.00,5.03,0.45
270,1.00,0.00,6.00,0.00
300,1.00,0.00,6.00,0.00
330,1.00,0.00,6.00,0.00
360,1.00,0.00,6.00,0.00
390,1.00,0.00,6.00,0.00
420,1.00,0.00,6.00,0.00
450,1.00,0.00,6.00,0.00
480,1.00,0.00,6.00,0.00
510,1.00,0.00,6.00,0.00
540,1.00,0.00,6.00,0.00
570,1.00,0.00,6.00,0.00
600,1.00,0.00,6.00,0.00

time +odiff>0:
5.30 (+/- 0.23) min=4
+odiff_times=[7, 5, 5, 5, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 7, 6, 5, 5, 5, 5, 5, 6, 4, 5, 5, 6, 5, 5, 5, 6]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
