seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.03,0.06,0.07,0.13
60,0.17,0.13,0.27,0.23
90,0.27,0.16,0.40,0.30
120,0.30,0.16,0.70,0.47
150,0.37,0.17,0.93,0.51
180,0.40,0.18,1.07,0.56
210,0.43,0.18,1.17,0.56
240,0.53,0.18,1.40,0.61
270,0.53,0.18,1.60,0.67
300,0.60,0.18,1.83,0.72
330,0.73,0.16,2.07,0.76
360,0.83,0.13,2.23,0.76
390,0.87,0.12,2.43,0.79
420,0.90,0.11,2.67,0.78
450,0.90,0.11,2.77,0.81
480,0.93,0.09,2.93,0.81
510,0.97,0.06,3.13,0.80
540,0.97,0.06,3.47,0.81
570,0.97,0.06,3.77,0.84
600,0.97,0.06,4.13,0.83

time +odiff>0:
233.63 (+/- 54.48) min=4
+odiff_times=[505, 323, 283, 307, 408, 274, 469, 309, 53, 47, 189, 79, 212, 155, 347, 354, 312, 348, 93, 140, 74, 128, 4, 79, 44, 47, 219, 600, 372, 235]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]
#ddiffs=[4, 1, 4, 2, 4, 4, 4, 3, 7, 5, 1, 8, 1, 3, 1, 5, 5, 5, 5, 3, 4, 4, 8, 11, 5, 6, 4, 0, 3, 4]
