seconds,avg_highscore,ci,maximum
30,152.93,6.58,187
60,165.80,5.08,187
90,170.33,4.49,187
120,173.17,3.13,193
150,174.37,2.96,193
180,177.83,2.92,196
210,177.93,2.93,196
240,179.03,2.85,196
270,179.90,2.64,196
300,179.97,2.63,196
330,180.13,2.60,196
360,180.67,2.52,196
390,180.87,2.46,196
420,181.47,2.38,196
450,182.37,2.21,196
480,182.97,2.03,196
510,183.33,1.95,196
540,184.03,2.00,196
570,184.23,1.99,196
600,184.33,1.92,196
630,184.33,1.92,196
660,184.33,1.92,196
690,184.57,1.84,196
720,184.57,1.84,196
750,184.67,1.84,196
780,184.83,1.87,196
810,185.17,1.93,196
840,185.23,1.90,196
870,185.37,1.89,196
900,185.37,1.89,196
930,185.37,1.89,196
960,185.40,1.87,196
990,185.70,1.78,196
1020,185.77,1.77,196
1050,185.77,1.77,196
1080,185.90,1.72,196
1110,185.90,1.72,196
1140,185.97,1.72,196
1170,185.97,1.72,196
1200,186.00,1.70,196
1230,186.03,1.69,196
1260,186.03,1.69,196
1290,186.07,1.68,196
1320,186.30,1.75,196
1350,186.30,1.75,196
1380,186.30,1.75,196
1410,186.30,1.75,196
1440,186.50,1.73,196
1470,186.50,1.73,196
1500,186.50,1.73,196
1530,186.50,1.73,196
1560,186.50,1.73,196
1590,186.50,1.73,196
1620,186.50,1.73,196
1650,186.50,1.73,196
1680,186.50,1.73,196
1710,186.63,1.75,196
1740,186.63,1.75,196
1770,186.70,1.77,196
1800,186.77,1.75,196

time delta>0:
1.87 (+/- 0.18)
delta>0Times=[2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2]
deltas=[184, 181, 184, 196, 186, 182, 186, 181, 194, 186, 188, 182, 193, 182, 192, 192, 183, 193, 187, 180, 186, 196, 183, 191, 185, 186, 179, 192, 190, 183]
deltas(30s)=[166, 171, 139, 159, 169, 131, 129, 128, 187, 178, 121, 129, 153, 125, 139, 160, 129, 160, 172, 165, 170, 135, 150, 181, 160, 156, 160, 139, 162, 165]
