seconds,avg_highscore,ci,maximum
30,172.80,0.80,181
60,173.87,1.42,187
90,174.33,1.53,187
120,174.90,1.66,188
150,176.17,1.87,188
180,176.87,1.86,188
210,177.70,1.78,188
240,178.27,1.74,188
270,178.63,1.73,188
300,178.90,1.68,188
330,179.23,1.63,188
360,179.63,1.58,188
390,180.20,1.70,190
420,180.23,1.70,190
450,180.23,1.70,190
480,180.63,1.59,190
510,180.63,1.59,190
540,180.73,1.56,190
570,180.87,1.57,190
600,180.87,1.57,190
630,180.87,1.57,190
660,181.03,1.55,190
690,181.40,1.45,190
720,181.40,1.45,190
750,181.40,1.45,190
780,181.40,1.45,190
810,181.80,1.43,190
840,181.80,1.43,190
870,182.23,1.45,190
900,182.60,1.53,191
930,182.60,1.53,191
960,182.60,1.53,191
990,182.60,1.53,191
1020,182.63,1.55,191
1050,182.87,1.58,191
1080,183.10,1.47,191
1110,183.40,1.40,191
1140,183.40,1.40,191
1170,183.57,1.37,191
1200,183.60,1.34,191
1230,183.63,1.34,191
1260,183.63,1.34,191
1290,183.63,1.34,191
1320,183.70,1.31,191
1350,183.70,1.31,191
1380,183.80,1.29,191
1410,183.80,1.29,191
1440,183.80,1.29,191
1470,183.80,1.29,191
1500,183.83,1.30,191
1530,183.90,1.30,191
1560,183.90,1.30,191
1590,183.90,1.30,191
1620,183.90,1.30,191
1650,184.17,1.26,191
1680,184.20,1.26,191
1710,184.37,1.27,191
1740,184.37,1.27,191
1770,184.43,1.25,191
1800,184.50,1.24,191

time delta>0:
1.73 (+/- 0.23)
delta>0Times=[2, 1, 2, 1, 1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 1, 3, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[184, 182, 182, 185, 190, 182, 187, 186, 180, 183, 177, 191, 190, 184, 189, 187, 182, 187, 186, 182, 190, 181, 183, 183, 186, 183, 180, 180, 186, 187]
deltas(30s)=[172, 172, 174, 172, 172, 172, 172, 172, 172, 181, 172, 172, 172, 172, 172, 178, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 179, 172]
