seconds,avg_highscore,ci,maximum
30,173.23,1.04,183
60,175.83,1.31,183
90,176.73,1.28,183
120,177.50,1.24,183
150,177.57,1.28,184
180,178.27,1.34,186
210,178.37,1.30,186
240,178.87,1.24,186
270,179.13,1.24,186
300,179.53,1.21,186
330,179.80,1.17,186
360,179.90,1.13,186
390,180.10,1.09,186
420,180.13,1.09,186
450,180.17,1.08,186
480,180.47,1.13,187
510,180.53,1.16,187
540,180.70,1.10,187
570,180.70,1.10,187
600,181.03,1.07,187
630,181.27,1.00,187
660,181.50,0.90,187
690,181.50,0.90,187
720,181.53,0.91,187
750,181.60,0.91,187
780,181.63,0.92,187
810,181.63,0.92,187
840,181.73,0.88,187
870,181.90,0.85,187
900,182.00,0.86,187
930,182.00,0.86,187
960,182.03,0.86,187
990,182.03,0.86,187
1020,182.03,0.86,187
1050,182.03,0.86,187
1080,182.17,0.86,187
1110,182.17,0.86,187
1140,182.30,0.81,187
1170,182.40,0.82,188
1200,182.43,0.81,188
1230,182.47,0.80,188
1260,182.73,0.93,190
1290,182.90,1.01,190
1320,182.93,1.00,190
1350,182.97,0.99,190
1380,183.03,0.97,190
1410,183.03,0.97,190
1440,183.03,0.97,190
1470,183.13,0.99,190
1500,183.27,1.00,190
1530,183.40,0.95,190
1560,183.43,0.95,190
1590,183.47,0.93,190
1620,183.47,0.93,190
1650,183.47,0.93,190
1680,183.47,0.93,190
1710,183.50,0.92,190
1740,183.60,0.89,190
1770,183.60,0.89,190
1800,183.63,0.89,190

time delta>0:
3.57 (+/- 0.18)
delta>0Times=[4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4]
deltas=[183, 182, 182, 181, 188, 183, 182, 180, 187, 185, 183, 185, 184, 182, 182, 181, 184, 184, 180, 188, 183, 184, 185, 187, 190, 183, 182, 183, 186, 180]
deltas(30s)=[172, 172, 172, 173, 180, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 172, 182, 172, 173, 175, 172, 173, 172, 183, 174, 172, 172, 172, 172]
