seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,17.90,0.56
60,0.00,0.00,32.17,0.92
90,0.00,0.00,44.03,1.07
120,0.00,0.00,55.70,1.03
150,0.00,0.00,65.50,1.26
180,0.00,0.00,77.03,1.59
210,0.00,0.00,89.07,1.99
240,0.00,0.00,100.63,2.12
270,0.00,0.00,111.83,2.30
300,0.00,0.00,122.17,2.59
330,0.00,0.00,132.33,3.04
360,0.03,0.06,142.03,3.29
390,0.03,0.06,151.63,3.10
420,0.03,0.06,161.13,3.00
450,0.03,0.06,170.93,3.03
480,0.03,0.06,180.57,3.12
510,0.03,0.06,190.60,3.13
540,0.07,0.09,201.10,3.44
570,0.07,0.09,210.93,3.59
600,0.07,0.09,219.30,3.74

time +odiff>0:
589.57 (+/- 16.05) min=358
+odiff_times=[600, 600, 600, 600, 600, 529, 358, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]
#odiffs=[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#ddiffs=[212, 227, 216, 193, 227, 234, 231, 213, 222, 218, 231, 205, 220, 211, 224, 211, 215, 226, 208, 235, 202, 221, 213, 239, 233, 213, 227, 217, 222, 213]
