seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,17.13,0.58
60,0.00,0.00,32.57,0.88
90,0.00,0.00,46.23,1.12
120,0.00,0.00,58.30,1.48
150,0.03,0.06,69.90,1.74
180,0.03,0.06,82.23,2.86
210,0.07,0.09,94.87,3.33
240,0.07,0.09,106.77,3.49
270,0.10,0.11,117.20,3.87
300,0.10,0.11,129.03,4.44
330,0.10,0.11,140.37,4.88
360,0.10,0.11,151.87,4.82
390,0.13,0.12,162.80,5.08
420,0.13,0.12,173.13,5.10
450,0.13,0.12,184.03,5.09
480,0.13,0.12,195.13,5.25
510,0.13,0.12,205.33,5.42
540,0.13,0.12,215.43,5.57
570,0.13,0.12,225.30,5.91
600,0.13,0.12,235.17,5.73

time +odiff>0:
551.97 (+/- 45.65) min=125
+odiff_times=[600, 600, 600, 600, 600, 600, 267, 600, 600, 125, 600, 600, 600, 600, 600, 385, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 182, 600, 600]
+odiff_src=['alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'afl', 'alf=spf', 'alf=spf', 'afl', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'afl', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'afl', 'alf=spf', 'alf=spf']
#odiffs=[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
#ddiffs=[221, 253, 250, 255, 242, 274, 231, 238, 222, 214, 237, 258, 223, 215, 196, 239, 224, 251, 235, 223, 230, 235, 235, 260, 220, 231, 234, 250, 234, 225]
