seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.20,0.14,0.20,0.14
510,0.20,0.14,0.20,0.14
540,0.20,0.14,0.20,0.14
570,0.20,0.14,0.20,0.14
600,0.20,0.14,0.20,0.14
630,0.20,0.14,0.20,0.14
660,0.20,0.14,0.20,0.14
690,0.20,0.14,0.20,0.14
720,0.20,0.14,0.20,0.14
750,0.20,0.14,0.20,0.14
780,0.20,0.14,0.20,0.14
810,0.23,0.15,0.23,0.15
840,0.33,0.17,0.33,0.17
870,0.50,0.18,0.50,0.18
900,0.67,0.17,0.67,0.17
930,0.80,0.14,0.80,0.14
960,0.90,0.11,0.90,0.11
990,0.97,0.06,0.97,0.06
1020,1.00,0.00,1.00,0.00
1050,1.00,0.00,1.00,0.00
1080,1.00,0.00,1.00,0.00
1110,1.00,0.00,1.00,0.00
1140,1.00,0.00,1.00,0.00
1170,1.00,0.00,1.00,0.00
1200,1.00,0.00,1.00,0.00
1230,1.00,0.00,1.00,0.00
1260,1.00,0.00,1.00,0.00
1290,1.00,0.00,1.00,0.00
1320,1.00,0.00,1.00,0.00
1350,1.00,0.00,1.00,0.00
1380,1.00,0.00,1.00,0.00
1410,1.00,0.00,1.00,0.00
1440,1.00,0.00,1.00,0.00
1470,1.00,0.00,1.00,0.00
1500,1.00,0.00,1.00,0.00
1530,1.00,0.00,1.00,0.00
1560,1.00,0.00,1.00,0.00
1590,1.00,0.00,1.00,0.00
1620,1.00,0.00,1.00,0.00
1650,1.00,0.00,1.00,0.00
1680,1.00,0.00,1.13,0.12
1710,1.00,0.00,1.27,0.16
1740,1.00,0.00,1.27,0.16
1770,1.00,0.00,1.30,0.16
1800,1.00,0.00,1.30,0.16
1830,1.00,0.00,1.30,0.16
1860,1.00,0.00,1.30,0.16
1890,1.00,0.00,1.30,0.16
1920,1.00,0.00,1.30,0.16
1950,1.00,0.00,1.30,0.16
1980,1.00,0.00,1.30,0.16
2010,1.07,0.09,1.53,0.20
2040,1.37,0.17,2.13,0.22
2070,1.40,0.18,2.23,0.18
2100,1.43,0.18,2.27,0.16
2130,1.43,0.18,2.30,0.16
2160,1.43,0.18,2.30,0.16
2190,1.43,0.18,2.30,0.16
2220,1.43,0.18,2.30,0.16
2250,1.43,0.18,2.30,0.16
2280,1.43,0.18,2.30,0.16
2310,1.43,0.18,2.30,0.16
2340,1.57,0.20,2.50,0.18
2370,1.70,0.23,2.80,0.21
2400,1.90,0.23,3.20,0.19
2430,1.97,0.24,3.27,0.16
2460,1.97,0.24,3.27,0.16
2490,1.97,0.24,3.27,0.16
2520,1.97,0.24,3.27,0.16
2550,1.97,0.24,3.30,0.16
2580,1.97,0.24,3.30,0.16
2610,1.97,0.24,3.30,0.16
2640,2.00,0.26,3.33,0.17
2670,2.00,0.26,3.37,0.17
2700,2.20,0.30,3.77,0.26
2730,2.30,0.31,4.03,0.22
2760,2.30,0.31,4.23,0.18
2790,2.30,0.31,4.27,0.16
2820,2.30,0.31,4.27,0.16
2850,2.30,0.31,4.27,0.16
2880,2.30,0.31,4.27,0.16
2910,2.33,0.30,4.30,0.16
2940,2.33,0.30,4.30,0.16
2970,2.33,0.30,4.30,0.16
3000,2.37,0.33,4.37,0.17
3030,2.47,0.35,4.63,0.22
3060,2.63,0.33,4.97,0.22
3090,2.70,0.34,5.10,0.21
3120,2.77,0.34,5.20,0.17
3150,2.80,0.34,5.27,0.16
3180,2.80,0.34,5.27,0.16
3210,2.80,0.34,5.27,0.16
3240,2.83,0.33,5.30,0.16
3270,2.83,0.33,5.30,0.16
3300,2.83,0.33,5.30,0.16
3330,2.83,0.33,5.33,0.17
3360,3.10,0.40,5.63,0.22
3390,3.30,0.38,5.90,0.23
3420,3.33,0.37,6.07,0.23
3450,3.40,0.38,6.17,0.19
3480,3.40,0.38,6.27,0.16
3510,3.40,0.38,6.27,0.16
3540,3.40,0.38,6.27,0.16
3570,3.43,0.38,6.30,0.16
3600,3.77,0.34,7.27,0.16

time +odiff>0:
452.63 (+/- 2.06) min=434
+odiff_times=[459, 434, 451, 454, 448, 453, 458, 445, 448, 451, 451, 453, 454, 452, 461, 458, 451, 452, 454, 450, 451, 468, 454, 450, 456, 447, 450, 451, 456, 459]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf']
#odiffs=[4, 4, 3, 3, 6, 4, 4, 6, 2, 4, 4, 2, 5, 4, 4, 3, 3, 4, 4, 3, 3, 5, 4, 4, 4, 3, 2, 4, 4, 4]
#ddiffs=[7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 7, 7, 8, 7, 8, 8, 7, 7, 8, 7]
