seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.00,0.00,0.00,0.00
660,0.00,0.00,0.00,0.00
690,0.00,0.00,0.00,0.00
720,0.00,0.00,0.00,0.00
750,0.00,0.00,0.00,0.00
780,0.00,0.00,0.00,0.00
810,0.00,0.00,0.00,0.00
840,0.00,0.00,0.13,0.12
870,0.00,0.00,0.33,0.17
900,0.00,0.00,0.33,0.17
930,0.00,0.00,0.33,0.17
960,0.00,0.00,0.33,0.17
990,0.00,0.00,0.33,0.17
1020,0.00,0.00,0.33,0.17
1050,0.00,0.00,0.33,0.17
1080,0.00,0.00,0.33,0.17
1110,0.00,0.00,0.33,0.17
1140,0.00,0.00,0.33,0.17
1170,0.00,0.00,0.33,0.17
1200,0.00,0.00,0.33,0.17
1230,0.03,0.06,0.37,0.17
1260,0.40,0.18,1.07,0.23
1290,0.47,0.18,1.20,0.19
1320,0.47,0.18,1.27,0.18
1350,0.47,0.18,1.30,0.19
1380,0.47,0.18,1.30,0.19
1410,0.47,0.18,1.30,0.19
1440,0.47,0.18,1.30,0.19
1470,0.47,0.18,1.30,0.19
1500,0.47,0.18,1.30,0.19
1530,0.47,0.18,1.30,0.19
1560,0.47,0.18,1.30,0.19
1590,0.47,0.18,1.30,0.19
1620,0.47,0.18,1.33,0.19
1650,0.53,0.22,1.70,0.26
1680,0.70,0.26,2.13,0.22
1710,0.70,0.26,2.20,0.19
1740,0.77,0.26,2.27,0.18
1770,0.80,0.25,2.30,0.19
1800,0.80,0.25,2.30,0.19
1830,0.80,0.25,2.30,0.19
1860,0.80,0.25,2.30,0.19
1890,0.80,0.25,2.30,0.19
1920,0.80,0.25,2.30,0.19
1950,0.80,0.25,2.30,0.19
1980,0.80,0.25,2.30,0.19
2010,0.80,0.25,2.30,0.19
2040,0.83,0.25,2.37,0.20
2070,1.03,0.31,2.90,0.27
2100,1.17,0.33,3.13,0.20
2130,1.23,0.33,3.27,0.18
2160,1.23,0.33,3.30,0.19
2190,1.23,0.33,3.30,0.19
2220,1.23,0.33,3.30,0.19
2250,1.23,0.33,3.30,0.19
2280,1.23,0.33,3.30,0.19
2310,1.23,0.33,3.30,0.19
2340,1.23,0.33,3.30,0.19
2370,1.23,0.33,3.30,0.19
2400,1.27,0.32,3.33,0.21
2430,1.27,0.32,3.37,0.22
2460,1.50,0.35,3.73,0.28
2490,1.57,0.35,3.93,0.26
2520,1.70,0.37,4.27,0.18
2550,1.70,0.37,4.30,0.19
2580,1.70,0.37,4.30,0.19
2610,1.70,0.37,4.30,0.19
2640,1.70,0.37,4.30,0.19
2670,1.70,0.37,4.30,0.19
2700,1.70,0.37,4.30,0.19
2730,1.70,0.37,4.33,0.21
2760,1.70,0.37,4.33,0.21
2790,1.70,0.37,4.33,0.21
2820,1.70,0.37,4.33,0.21
2850,1.73,0.37,4.43,0.22
2880,1.83,0.39,4.77,0.24
2910,1.97,0.40,5.07,0.23
2940,2.03,0.41,5.27,0.18
2970,2.03,0.41,5.27,0.18
3000,2.07,0.40,5.30,0.19
3030,2.07,0.40,5.30,0.19
3060,2.10,0.40,5.33,0.21
3090,2.10,0.40,5.33,0.21
3120,2.10,0.40,5.33,0.21
3150,2.10,0.40,5.33,0.21
3180,2.10,0.40,5.33,0.21
3210,2.10,0.40,5.33,0.21
3240,2.13,0.39,5.37,0.22
3270,2.17,0.40,5.60,0.24
3300,2.27,0.41,5.87,0.22
3330,2.37,0.41,6.17,0.19
3360,2.40,0.42,6.27,0.18
3390,2.43,0.42,6.30,0.21
3420,2.43,0.42,6.33,0.21
3450,2.43,0.42,6.33,0.21
3480,2.43,0.42,6.33,0.21
3510,2.43,0.42,6.33,0.21
3540,2.43,0.42,6.33,0.21
3570,2.43,0.42,6.33,0.21
3600,2.43,0.42,6.33,0.21

time +odiff>0:
1830.83 (+/- 259.79) min=1220
+odiff_times=[1243, 2033, 3327, 1656, 1244, 2903, 1665, 1240, 1244, 3600, 1220, 1250, 1246, 2057, 1261, 1261, 1252, 3600, 1245, 2447, 1252, 1260, 2077, 1235, 2437, 1713, 1716, 2106, 1742, 2393]
#odiffs=[4, 2, 1, 3, 4, 1, 2, 3, 4, 0, 2, 5, 3, 2, 4, 4, 2, 0, 2, 2, 3, 3, 2, 2, 3, 2, 2, 1, 2, 3]
#ddiffs=[6, 6, 6, 6, 7, 5, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 6, 7, 6, 7, 6, 6, 6, 6, 7, 7, 7, 8]
