seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,3.90,0.56,19.07,0.43
60,8.67,0.69,36.57,0.68
90,12.97,0.89,52.47,0.92
120,17.87,1.19,67.73,1.24
150,22.23,1.43,82.10,1.41
180,26.70,1.69,95.33,1.58
210,31.60,1.89,109.07,1.59
240,37.33,2.20,123.33,1.90
270,42.30,2.66,137.80,2.18
300,47.13,2.58,152.30,2.62
330,52.03,2.62,166.47,3.01
360,56.60,2.67,179.63,3.07
390,61.30,2.72,192.67,3.13
420,66.50,3.04,205.87,3.33
450,71.13,3.47,218.97,3.58
480,76.90,3.72,230.80,3.89
510,81.77,3.89,243.33,4.39
540,87.20,4.04,254.97,4.30
570,92.20,4.29,267.37,4.47
600,96.73,4.54,279.13,4.51

time +odiff>0:
7.43 (+/- 1.60) min=1
+odiff_times=[1, 4, 10, 6, 2, 14, 9, 6, 10, 14, 3, 19, 6, 7, 15, 3, 2, 14, 7, 8, 5, 4, 8, 4, 13, 5, 4, 3, 10, 7]
#odiffs=[104, 121, 100, 85, 100, 81, 82, 120, 93, 113, 108, 90, 95, 113, 96, 101, 85, 96, 108, 102, 100, 100, 102, 96, 80, 85, 73, 114, 74, 85]
#ddiffs=[282, 256, 266, 281, 280, 273, 292, 273, 293, 293, 260, 263, 283, 278, 283, 305, 268, 277, 280, 297, 290, 253, 285, 297, 271, 275, 268, 282, 275, 295]
