seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.07,0.09,0.13,0.15
60,0.10,0.11,0.33,0.28
90,0.17,0.13,0.57,0.34
120,0.33,0.17,0.93,0.40
150,0.37,0.17,1.10,0.43
180,0.40,0.18,1.30,0.44
210,0.43,0.18,1.67,0.49
240,0.60,0.18,2.40,0.52
270,0.67,0.17,2.67,0.58
300,0.77,0.15,3.17,0.61
330,0.83,0.13,3.60,0.71
360,0.87,0.12,3.80,0.68
390,0.93,0.09,4.10,0.68
420,0.93,0.09,4.33,0.67
450,0.93,0.09,4.60,0.71
480,0.93,0.09,4.83,0.72
510,0.93,0.09,5.13,0.79
540,0.93,0.09,5.40,0.82
570,0.97,0.06,5.90,0.84
600,1.00,0.00,6.13,0.85

time +odiff>0:
221.73 (+/- 48.83) min=10
+odiff_times=[208, 218, 544, 92, 35, 236, 98, 10, 211, 292, 281, 573, 324, 90, 170, 119, 79, 301, 381, 240, 343, 216, 293, 269, 27, 118, 388, 135, 118, 243]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[5, 2, 6, 7, 7, 3, 9, 12, 5, 4, 9, 4, 4, 4, 6, 7, 6, 4, 4, 5, 4, 7, 8, 3, 10, 9, 8, 8, 5, 9]
