seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,1.00,0.00
90,0.00,0.00,1.00,0.00
120,0.00,0.00,1.00,0.00
150,0.00,0.00,2.00,0.00
180,0.00,0.00,3.00,0.00
210,1.00,0.00,9.00,0.00
240,1.00,0.00,15.00,0.00
270,1.00,0.00,15.00,0.00
300,1.00,0.00,15.00,0.00
330,1.00,0.00,15.00,0.00
360,1.00,0.00,15.00,0.00
390,1.00,0.00,15.00,0.00
420,1.00,0.00,15.00,0.00
450,1.00,0.00,15.00,0.00
480,1.00,0.00,15.00,0.00
510,1.00,0.00,15.00,0.00
540,1.00,0.00,15.00,0.00
570,1.00,0.00,15.00,0.00
600,1.00,0.00,15.00,0.00

time +odiff>0:
184.20 (+/- 0.57) min=181
+odiff_times=[185, 184, 183, 184, 183, 186, 183, 186, 188, 184, 184, 185, 182, 183, 184, 186, 185, 185, 185, 181, 187, 183, 183, 184, 185, 184, 183, 184, 181, 186]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]
