seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.10,0.11
60,0.07,0.09,0.27,0.16
90,0.07,0.09,0.43,0.22
120,0.13,0.12,1.10,0.32
150,0.20,0.14,2.20,0.41
180,0.23,0.15,3.17,0.44
210,0.50,0.18,5.07,0.58
240,0.83,0.13,9.93,0.68
270,1.00,0.00,13.87,0.65
300,1.00,0.00,17.57,0.60
330,1.00,0.00,18.20,0.64
360,1.00,0.00,18.97,0.68
390,1.00,0.00,19.37,0.74
420,1.00,0.00,19.77,0.72
450,1.00,0.00,20.27,0.76
480,1.00,0.00,20.63,0.78
510,1.00,0.00,20.97,0.78
540,1.00,0.00,21.57,0.85
570,1.00,0.00,21.93,0.87
600,1.00,0.00,22.37,0.89

time +odiff>0:
185.53 (+/- 18.42) min=39
+odiff_times=[189, 212, 223, 185, 39, 132, 215, 218, 223, 219, 91, 223, 218, 210, 207, 199, 56, 215, 210, 181, 215, 220, 218, 98, 218, 218, 170, 215, 127, 202]
+odiff_src=['afl', 'afl', 'spf', 'afl', 'afl', 'afl', 'spf', 'afl', 'spf', 'spf', 'afl', 'spf', 'afl', 'afl', 'afl', 'afl', 'afl', 'spf', 'afl', 'afl', 'spf', 'afl', 'spf', 'afl', 'spf', 'spf', 'afl', 'spf', 'afl', 'afl']
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[21, 22, 19, 25, 21, 25, 22, 26, 22, 20, 21, 19, 25, 21, 21, 28, 21, 22, 26, 22, 22, 20, 26, 25, 21, 19, 21, 19, 23, 26]
