seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.97,0.06,0.97,0.06
150,1.00,0.00,1.00,0.00
180,1.00,0.00,1.00,0.00
210,1.00,0.00,1.00,0.00
240,1.00,0.00,2.00,0.00
270,1.00,0.00,2.00,0.00
300,1.00,0.00,2.00,0.00
330,1.00,0.00,2.97,0.06
360,1.00,0.00,3.00,0.00
390,1.00,0.00,3.00,0.00
420,1.00,0.00,3.97,0.06
450,1.00,0.00,4.00,0.00
480,1.00,0.00,4.00,0.00
510,1.00,0.00,4.97,0.06
540,1.00,0.00,4.97,0.06
570,1.00,0.00,5.00,0.00
600,1.00,0.00,5.80,0.14

time +odiff>0:
117.80 (+/- 0.55) min=113
+odiff_times=[121, 116, 119, 117, 119, 118, 118, 113, 120, 119, 119, 118, 119, 116, 117, 119, 120, 116, 118, 117, 117, 118, 117, 118, 117, 118, 117, 118, 116, 119]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[5, 6, 6, 6, 5, 5, 6, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6]
