seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,9.90,0.62
60,0.07,0.09,14.23,0.60
90,0.10,0.11,16.93,0.63
120,0.17,0.13,18.77,0.78
150,0.83,0.13,21.53,0.77
180,0.93,0.09,23.97,0.81
210,0.97,0.06,25.87,0.99
240,1.00,0.00,27.83,0.93
270,1.00,0.00,29.07,1.02
300,1.00,0.00,30.17,1.09
330,1.00,0.00,31.13,1.05
360,1.00,0.00,33.03,0.95
390,1.00,0.00,34.27,0.89
420,1.00,0.00,34.77,0.92
450,1.00,0.00,35.43,0.86
480,1.00,0.00,36.07,0.91
510,1.00,0.00,36.63,0.92
540,1.00,0.00,37.27,0.90
570,1.00,0.00,37.87,0.82
600,1.00,0.00,38.17,0.82

time +odiff>0:
122.00 (+/- 8.34) min=49
+odiff_times=[99, 128, 129, 52, 130, 131, 128, 129, 130, 131, 137, 129, 130, 130, 131, 130, 132, 137, 130, 141, 114, 49, 131, 130, 132, 129, 135, 66, 131, 129]
+odiff_src=['afl', 'alf=spf', 'spf', 'afl', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'spf', 'alf=spf', 'alf=spf', 'afl', 'afl', 'alf=spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'afl', 'alf=spf', 'alf=spf']
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[39, 39, 39, 39, 44, 37, 41, 38, 40, 40, 35, 35, 34, 34, 36, 36, 42, 40, 37, 37, 39, 36, 39, 38, 36, 38, 39, 38, 41, 39]
