seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.03,0.06,0.03,0.06
570,0.03,0.06,0.03,0.06
600,0.13,0.12,0.13,0.12
630,1.00,0.00,1.00,0.00
660,1.00,0.00,1.00,0.00
690,1.00,0.00,1.00,0.00
720,1.00,0.00,1.00,0.00
750,1.00,0.00,1.00,0.00
780,1.00,0.00,1.00,0.00
810,1.00,0.00,1.00,0.00
840,1.00,0.00,1.00,0.00
870,1.00,0.00,1.00,0.00
900,1.00,0.00,1.00,0.00
930,1.00,0.00,1.00,0.00
960,1.00,0.00,1.00,0.00
990,1.00,0.00,1.00,0.00
1020,1.00,0.00,1.00,0.00
1050,1.00,0.00,1.00,0.00
1080,1.00,0.00,1.00,0.00
1110,1.00,0.00,1.00,0.00
1140,1.00,0.00,1.00,0.00
1170,1.00,0.00,1.00,0.00
1200,1.00,0.00,1.00,0.00
1230,1.00,0.00,1.00,0.00
1260,1.00,0.00,1.00,0.00
1290,1.00,0.00,1.00,0.00
1320,1.00,0.00,1.00,0.00
1350,1.00,0.00,1.00,0.00
1380,1.00,0.00,1.00,0.00
1410,1.00,0.00,1.00,0.00
1440,1.00,0.00,1.00,0.00
1470,1.00,0.00,1.00,0.00
1500,1.00,0.00,1.00,0.00
1530,1.00,0.00,1.00,0.00
1560,1.00,0.00,1.00,0.00
1590,1.00,0.00,1.00,0.00
1620,1.00,0.00,1.00,0.00
1650,1.00,0.00,1.00,0.00
1680,1.00,0.00,1.00,0.00
1710,1.00,0.00,1.00,0.00
1740,1.00,0.00,1.00,0.00
1770,1.00,0.00,1.00,0.00
1800,1.00,0.00,1.00,0.00
1830,1.00,0.00,1.03,0.06
1860,1.00,0.00,1.03,0.06
1890,1.00,0.00,1.03,0.06
1920,1.00,0.00,1.03,0.06
1950,1.00,0.00,1.03,0.06
1980,1.00,0.00,1.03,0.06
2010,1.00,0.00,1.03,0.06
2040,1.00,0.00,1.03,0.06
2070,1.00,0.00,1.03,0.06
2100,1.00,0.00,1.03,0.06
2130,1.00,0.00,1.10,0.11
2160,1.00,0.00,1.37,0.20
2190,1.00,0.00,1.63,0.20
2220,1.00,0.00,1.97,0.11
2250,1.03,0.06,2.03,0.06
2280,1.03,0.06,2.03,0.06
2310,1.03,0.06,2.03,0.06
2340,1.03,0.06,2.03,0.06
2370,1.03,0.06,2.03,0.06
2400,1.03,0.06,2.03,0.06
2430,1.03,0.06,2.03,0.06
2460,1.03,0.06,2.07,0.09
2490,1.03,0.06,2.10,0.11
2520,1.07,0.09,2.33,0.17
2550,1.10,0.11,2.63,0.20
2580,1.10,0.11,2.90,0.14
2610,1.10,0.11,2.97,0.11
2640,1.10,0.11,3.03,0.06
2670,1.10,0.11,3.03,0.06
2700,1.10,0.11,3.03,0.06
2730,1.10,0.11,3.03,0.06
2760,1.10,0.11,3.03,0.06
2790,1.10,0.11,3.07,0.09
2820,1.10,0.11,3.07,0.09
2850,1.10,0.11,3.13,0.12
2880,1.13,0.12,3.37,0.20
2910,1.13,0.12,3.67,0.19
2940,1.13,0.12,3.73,0.18
2970,1.13,0.12,3.93,0.13
3000,1.13,0.12,3.97,0.11
3030,1.13,0.12,4.03,0.06
3060,1.13,0.12,4.03,0.06
3090,1.13,0.12,4.03,0.06
3120,1.13,0.12,4.03,0.06
3150,1.13,0.12,4.07,0.09
3180,1.13,0.12,4.07,0.09
3210,1.13,0.12,4.17,0.13
3240,1.13,0.12,4.33,0.17
3270,1.17,0.13,4.53,0.20
3300,1.17,0.13,4.73,0.18
3330,1.17,0.13,4.87,0.15
3360,1.17,0.13,4.93,0.13
3390,1.17,0.13,4.97,0.11
3420,1.17,0.13,5.03,0.06
3450,1.17,0.13,5.03,0.06
3480,1.17,0.13,5.03,0.06
3510,1.17,0.13,5.07,0.09
3540,1.17,0.13,5.07,0.09
3570,1.17,0.13,5.10,0.11
3600,1.20,0.14,6.10,0.11

time +odiff>0:
297.10 (+/- 2.38) min=267
+odiff_times=[298, 297, 296, 267, 294, 308, 306, 296, 297, 299, 296, 299, 296, 299, 301, 295, 295, 303, 299, 301, 294, 300, 302, 294, 297, 302, 300, 294, 296, 292]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf']
#odiffs=[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]
#ddiffs=[6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6]
