seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,2.87,0.57,16.33,0.59
60,6.73,0.89,29.60,0.89
90,10.47,1.09,40.13,1.12
120,14.33,1.28,50.03,1.35
150,19.00,1.45,58.90,1.40
180,22.97,1.69,68.13,1.64
210,26.80,1.63,78.20,1.93
240,31.00,1.94,87.87,1.88
270,34.97,2.25,97.50,2.12
300,38.67,2.42,106.90,2.53
330,43.13,2.38,114.93,2.86
360,47.33,2.39,122.47,3.15
390,50.80,2.48,130.37,3.23
420,55.07,2.71,138.37,3.51
450,59.40,3.10,145.73,3.49
480,64.73,3.52,152.93,3.41
510,69.63,3.70,159.50,3.32
540,73.63,3.81,165.57,3.61
570,78.37,3.94,171.00,3.59
600,82.30,3.98,176.83,3.62

time +odiff>0:
10.83 (+/- 3.33) min=2
+odiff_times=[5, 17, 10, 13, 6, 41, 3, 7, 31, 12, 7, 4, 6, 8, 3, 15, 3, 6, 7, 3, 21, 9, 14, 12, 31, 2, 3, 7, 3, 16]
#odiffs=[111, 81, 73, 72, 71, 88, 87, 74, 99, 87, 76, 88, 82, 76, 79, 79, 76, 96, 82, 73, 67, 90, 87, 65, 99, 104, 88, 77, 69, 73]
#ddiffs=[168, 183, 193, 179, 188, 186, 171, 191, 170, 177, 160, 166, 194, 174, 180, 176, 188, 165, 175, 171, 188, 156, 165, 193, 168, 173, 169, 177, 185, 176]
