seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,3.10,0.72,16.60,0.64
60,6.93,0.92,31.90,1.12
90,10.37,1.15,46.67,1.44
120,14.40,1.16,60.60,1.83
150,17.97,1.22,74.17,2.10
180,22.00,1.34,89.67,2.24
210,27.40,1.65,104.57,2.34
240,31.83,1.69,117.97,2.37
270,37.17,2.03,131.07,2.52
300,42.50,2.19,145.63,2.63
330,47.20,2.53,159.37,2.73
360,51.50,2.54,172.53,2.92
390,56.57,2.77,184.17,3.33
420,61.57,3.30,196.03,3.05
450,66.63,3.47,207.17,2.90
480,71.33,3.52,215.97,2.97
510,75.07,3.90,222.70,3.05
540,77.77,4.25,228.37,3.65
570,80.60,4.54,235.17,3.84
600,84.63,4.24,242.70,3.80

time +odiff>0:
13.27 (+/- 3.62) min=2
+odiff_times=[3, 9, 16, 3, 6, 11, 41, 12, 4, 7, 28, 5, 11, 4, 8, 20, 18, 10, 15, 30, 35, 19, 7, 17, 4, 2, 15, 2, 9, 27]
+odiff_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
#odiffs=[83, 73, 84, 71, 115, 84, 84, 75, 72, 84, 95, 98, 83, 92, 85, 72, 77, 66, 82, 99, 88, 81, 85, 119, 86, 69, 88, 87, 74, 88]
#ddiffs=[253, 249, 246, 245, 255, 257, 245, 231, 246, 232, 238, 241, 252, 248, 240, 223, 231, 230, 235, 252, 245, 270, 237, 241, 237, 254, 241, 239, 218, 250]
