seconds,avg_highscore,ci,maximum
30,97.80,0.74,104
60,98.50,0.99,108
90,100.67,1.39,108
120,101.03,1.44,108
150,101.13,1.42,108
180,101.53,1.36,108
210,101.70,1.31,108
240,101.83,1.27,108
270,102.13,1.25,108
300,103.03,1.33,112
330,103.03,1.33,112
360,103.53,1.53,116
390,103.90,1.52,116
420,104.10,1.47,116
450,104.17,1.45,116
480,104.20,1.45,116
510,104.30,1.43,116
540,104.90,1.35,116
570,104.90,1.35,116
600,104.90,1.35,116
630,105.03,1.36,116
660,105.03,1.36,116
690,105.03,1.36,116
720,105.07,1.36,116
750,105.07,1.36,116
780,105.07,1.36,116
810,105.07,1.36,116
840,105.23,1.34,116
870,105.47,1.39,116
900,105.60,1.32,116
930,105.60,1.32,116
960,105.73,1.32,116
990,105.73,1.32,116
1020,106.33,1.30,116
1050,106.53,1.33,116
1080,106.90,1.25,116
1110,106.90,1.25,116
1140,106.90,1.25,116
1170,107.10,1.19,116
1200,107.50,1.19,116
1230,107.63,1.14,116
1260,107.63,1.14,116
1290,107.63,1.14,116
1320,107.63,1.14,116
1350,107.63,1.14,116
1380,107.90,1.20,116
1410,107.90,1.20,116
1440,107.90,1.20,116
1470,107.90,1.20,116
1500,107.90,1.20,116
1530,107.90,1.20,116
1560,107.90,1.20,116
1590,108.03,1.17,116
1620,108.03,1.17,116
1650,108.03,1.17,116
1680,108.03,1.17,116
1710,108.17,1.10,116
1740,108.17,1.10,116
1770,108.17,1.10,116
1800,108.17,1.10,116

time delta>0:
2.33 (+/- 0.38)
delta>0Times=[3, 2, 2, 3, 3, 1, 2, 3, 2, 1, 1, 3, 1, 2, 3, 2, 3, 2, 1, 3, 1, 4, 3, 2, 2, 2, 5, 2, 5, 1]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'alf=spf', 'afl', 'alf=spf', 'afl']
deltas=[112, 104, 108, 108, 104, 108, 105, 112, 108, 108, 108, 104, 112, 111, 108, 112, 105, 104, 104, 116, 108, 108, 104, 108, 112, 108, 108, 108, 112, 108]
deltas(30s)=[97, 97, 97, 97, 97, 102, 97, 97, 97, 97, 97, 97, 97, 104, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 104, 102, 97, 97]
