seconds,avg_highscore,ci,maximum
30,85.00,6.14,104
60,93.67,3.18,108
90,96.57,1.93,108
120,97.60,2.03,108
150,98.37,2.01,108
180,99.23,1.71,108
210,100.17,1.54,108
240,100.33,1.51,108
270,100.90,1.51,108
300,101.07,1.40,108
330,101.30,1.49,112
360,101.97,1.51,112
390,102.10,1.50,112
420,102.27,1.44,112
450,102.27,1.44,112
480,102.93,1.30,112
510,102.93,1.30,112
540,102.93,1.30,112
570,103.23,1.20,112
600,103.50,1.22,112
630,103.53,1.21,112
660,103.60,1.19,112
690,104.00,1.28,112
720,104.00,1.28,112
750,104.33,1.27,112
780,104.40,1.23,112
810,104.40,1.23,112
840,104.40,1.23,112
870,104.67,1.32,112
900,104.90,1.27,112
930,105.30,1.20,112
960,105.43,1.21,112
990,105.73,1.14,112
1020,105.73,1.14,112
1050,105.73,1.14,112
1080,106.00,1.20,112
1110,106.00,1.20,112
1140,106.10,1.17,112
1170,106.10,1.17,112
1200,106.23,1.10,112
1230,106.23,1.10,112
1260,106.23,1.10,112
1290,106.47,1.05,112
1320,106.60,1.11,112
1350,106.60,1.11,112
1380,107.00,1.13,112
1410,107.00,1.13,112
1440,107.00,1.13,112
1470,107.00,1.13,112
1500,107.00,1.13,112
1530,107.13,1.18,112
1560,107.27,1.22,112
1590,107.27,1.22,112
1620,107.27,1.22,112
1650,107.27,1.22,112
1680,107.27,1.22,112
1710,107.27,1.22,112
1740,107.27,1.22,112
1770,107.27,1.22,112
1800,107.27,1.22,112

time delta>0:
2.20 (+/- 0.23)
delta>0Times=[2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 4, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2]
deltas=[101, 112, 104, 104, 112, 104, 112, 108, 108, 112, 104, 108, 108, 104, 112, 108, 108, 104, 105, 104, 108, 104, 108, 104, 104, 108, 112, 104, 112, 112]
deltas(30s)=[93, 93, 50, 96, 85, 73, 82, 100, 93, 92, 85, 103, 50, 88, 92, 100, 51, 96, 95, 79, 100, 104, 78, 54, 93, 46, 89, 94, 96, 100]
