seconds,avg_highscore,ci,maximum
30,102.00,0.00,102
60,102.00,0.00,102
90,102.00,0.00,102
120,103.00,0.00,103
150,103.00,0.00,103
180,103.17,0.32,108
210,103.70,0.53,108
240,104.03,0.65,108
270,104.40,0.73,108
300,104.43,0.72,108
330,104.47,0.71,108
360,104.50,0.71,108
390,104.67,0.82,112
420,105.00,0.86,112
450,105.20,0.86,112
480,105.57,0.86,112
510,105.77,0.85,112
540,106.23,0.98,112
570,106.23,0.98,112
600,106.23,0.98,112
630,106.57,0.94,112
660,106.80,0.91,112
690,106.83,0.89,112
720,107.00,0.90,112
750,107.03,0.88,112
780,107.17,0.86,112
810,107.27,0.83,112
840,107.57,0.77,112
870,107.57,0.77,112
900,107.57,0.77,112
930,107.70,0.73,112
960,107.70,0.73,112
990,107.70,0.73,112
1020,107.70,0.73,112
1050,107.70,0.73,112
1080,107.70,0.73,112
1110,107.70,0.73,112
1140,107.70,0.73,112
1170,107.70,0.73,112
1200,107.70,0.73,112
1230,107.70,0.73,112
1260,107.70,0.73,112
1290,107.70,0.73,112
1320,107.70,0.73,112
1350,107.70,0.73,112
1380,107.70,0.73,112
1410,107.70,0.73,112
1440,107.70,0.73,112
1470,107.70,0.73,112
1500,107.70,0.73,112
1530,107.70,0.73,112
1560,107.80,0.69,112
1590,107.80,0.69,112
1620,107.80,0.69,112
1650,107.80,0.69,112
1680,107.90,0.65,112
1710,107.90,0.65,112
1740,107.90,0.65,112
1770,108.00,0.60,112
1800,108.00,0.60,112

time delta>0:
3.47 (+/- 0.18)
delta>0Times=[4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3]
deltas=[107, 108, 108, 108, 112, 112, 108, 108, 107, 108, 108, 108, 104, 108, 108, 108, 108, 107, 108, 108, 107, 108, 108, 108, 108, 112, 108, 104, 108, 108]
deltas(30s)=[102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102]
