seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.77,0.27,1.00,0.24
120,1.70,0.21,5.40,0.25
150,2.00,0.00,5.97,0.06
180,2.00,0.00,6.10,0.11
210,2.00,0.00,6.23,0.18
240,2.00,0.00,6.67,0.27
270,2.00,0.00,6.93,0.29
300,2.00,0.00,6.97,0.30
330,2.00,0.00,7.10,0.32
360,2.00,0.00,7.53,0.41
390,2.00,0.00,7.73,0.42
420,2.00,0.00,8.07,0.45
450,2.00,0.00,8.13,0.50
480,2.00,0.00,8.27,0.51
510,2.00,0.00,8.47,0.51
540,2.00,0.00,8.57,0.54
570,2.00,0.00,8.67,0.51
600,2.00,0.00,8.77,0.49

time +odiff>0:
65.33 (+/- 0.75) min=61
+odiff_times=[67, 66, 67, 67, 66, 66, 64, 68, 64, 65, 68, 71, 65, 64, 65, 65, 64, 65, 63, 64, 62, 61, 68, 62, 68, 63, 66, 65, 65, 66]
+odiff_src=['spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf']
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[9, 9, 8, 8, 8, 7, 8, 11, 7, 10, 8, 11, 7, 8, 9, 7, 8, 13, 9, 9, 10, 10, 9, 10, 10, 8, 8, 9, 8, 7]
