seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,2.17,0.13,4.13,0.18
60,5.73,0.24,7.83,0.19
90,6.37,0.25,9.63,0.36
120,7.93,0.46,12.20,0.54
150,9.23,0.76,14.20,0.57
180,10.77,0.80,15.80,0.56
210,12.30,0.92,17.83,0.49
240,13.60,0.98,19.33,0.47
270,15.73,1.25,21.17,0.58
300,18.37,1.64,23.10,0.70
330,20.60,2.13,24.60,0.82
360,23.20,2.58,25.83,0.87
390,26.33,3.02,26.73,1.01
420,28.73,3.39,27.67,1.07
450,31.47,3.76,28.40,1.08
480,33.93,3.93,29.23,1.09
510,36.07,4.14,30.00,1.19
540,37.77,4.51,30.63,1.29
570,41.20,5.20,31.37,1.35
600,44.33,5.47,32.00,1.39

time +odiff>0:
3.87 (+/- 0.20) min=3
+odiff_times=[4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 3, 3, 3]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf']
#odiffs=[32, 25, 63, 52, 71, 58, 29, 20, 61, 32, 49, 44, 37, 63, 71, 41, 47, 50, 46, 36, 26, 78, 46, 50, 30, 28, 30, 33, 54, 28]
#ddiffs=[34, 37, 27, 34, 35, 29, 31, 27, 34, 27, 34, 33, 41, 34, 32, 26, 24, 32, 29, 35, 25, 30, 32, 35, 35, 31, 33, 37, 36, 31]
