seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.03,0.06,0.03,0.06
60,0.07,0.09,0.07,0.09
90,0.17,0.13,0.17,0.13
120,0.70,0.56,0.53,0.32
150,2.07,1.50,1.47,0.78
180,3.83,2.43,2.40,1.16
210,6.33,3.38,3.43,1.42
240,9.43,4.42,4.57,1.65
270,12.40,5.12,5.53,1.88
300,16.23,6.10,6.70,2.06
330,19.93,6.94,7.70,2.16
360,23.73,7.83,8.60,2.18
390,28.43,9.05,9.80,2.35
420,32.57,10.20,10.67,2.47
450,36.80,10.92,11.63,2.43
480,42.07,11.81,12.70,2.35
510,47.57,12.91,13.67,2.36
540,53.77,14.21,14.23,2.35
570,59.20,15.14,15.00,2.31
600,64.50,15.98,15.50,2.35

time +odiff>0:
221.13 (+/- 56.26) min=10
+odiff_times=[440, 66, 57, 278, 250, 530, 262, 115, 10, 140, 121, 111, 172, 116, 163, 600, 81, 158, 138, 233, 418, 132, 396, 257, 600, 112, 160, 142, 287, 89]
#odiffs=[33, 120, 185, 20, 101, 3, 31, 53, 114, 110, 38, 59, 25, 72, 119, 0, 75, 120, 111, 69, 25, 51, 48, 8, 0, 106, 90, 41, 32, 76]
#ddiffs=[13, 21, 17, 21, 12, 5, 18, 21, 21, 19, 20, 30, 18, 9, 14, 0, 17, 13, 16, 12, 11, 23, 12, 11, 0, 17, 16, 27, 15, 16]
