seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.00,0.00,0.00,0.00
660,0.00,0.00,0.20,0.14
690,0.00,0.00,0.20,0.14
720,0.00,0.00,0.20,0.14
750,0.00,0.00,0.20,0.14
780,0.00,0.00,0.20,0.14
810,0.00,0.00,0.20,0.14
840,0.00,0.00,0.20,0.14
870,0.00,0.00,0.20,0.14
900,0.00,0.00,0.20,0.14
930,0.00,0.00,0.20,0.14
960,0.20,0.14,0.97,0.22
990,0.23,0.15,1.20,0.14
1020,0.23,0.15,1.20,0.14
1050,0.23,0.15,1.20,0.14
1080,0.23,0.15,1.20,0.14
1110,0.23,0.15,1.20,0.14
1140,0.23,0.15,1.20,0.14
1170,0.23,0.15,1.20,0.14
1200,0.23,0.15,1.20,0.14
1230,0.23,0.15,1.20,0.14
1260,0.27,0.16,1.27,0.16
1290,0.53,0.26,1.83,0.19
1320,0.60,0.27,2.17,0.13
1350,0.60,0.27,2.20,0.14
1380,0.60,0.27,2.20,0.14
1410,0.60,0.27,2.20,0.14
1440,0.60,0.27,2.20,0.14
1470,0.60,0.27,2.20,0.14
1500,0.60,0.27,2.20,0.14
1530,0.60,0.27,2.20,0.14
1560,0.60,0.27,2.20,0.14
1590,0.73,0.31,2.77,0.20
1620,0.80,0.31,3.13,0.15
1650,0.83,0.31,3.20,0.14
1680,0.83,0.31,3.20,0.14
1710,0.83,0.31,3.20,0.14
1740,0.83,0.31,3.20,0.14
1770,0.83,0.31,3.20,0.14
1800,0.83,0.31,3.20,0.14
1830,0.83,0.31,3.20,0.14
1860,0.83,0.31,3.20,0.14
1890,0.97,0.35,3.57,0.22
1920,1.03,0.36,4.00,0.18
1950,1.10,0.37,4.17,0.13
1980,1.10,0.37,4.17,0.13
2010,1.10,0.37,4.17,0.13
2040,1.10,0.37,4.20,0.14
2070,1.10,0.37,4.20,0.14
2100,1.10,0.37,4.20,0.14
2130,1.10,0.37,4.20,0.14
2160,1.10,0.37,4.20,0.14
2190,1.20,0.39,4.37,0.20
2220,1.37,0.36,4.63,0.20
2250,1.50,0.35,5.03,0.15
2280,1.50,0.35,5.10,0.14
2310,1.57,0.34,5.17,0.13
2340,1.57,0.34,5.17,0.13
2370,1.57,0.34,5.20,0.14
2400,1.57,0.34,5.20,0.14
2430,1.57,0.34,5.20,0.14
2460,1.57,0.34,5.20,0.14
2490,1.57,0.34,5.20,0.14
2520,1.60,0.34,5.53,0.20
2550,1.73,0.34,5.97,0.11
2580,1.80,0.34,6.07,0.13
2610,1.83,0.36,6.17,0.13
2640,1.83,0.36,6.17,0.13
2670,1.83,0.36,6.20,0.14
2700,1.83,0.36,6.20,0.14
2730,1.83,0.36,6.20,0.14
2760,1.83,0.36,6.20,0.14
2790,1.83,0.36,6.20,0.14
2820,1.87,0.37,6.37,0.17
2850,1.93,0.39,6.73,0.18
2880,1.97,0.39,7.03,0.15
2910,1.97,0.39,7.10,0.14
2940,1.97,0.39,7.13,0.15
2970,2.00,0.38,7.17,0.13
3000,2.00,0.38,7.20,0.14
3030,2.00,0.38,7.20,0.14
3060,2.00,0.38,7.20,0.14
3090,2.00,0.38,7.20,0.14
3120,2.00,0.38,7.23,0.15
3150,2.00,0.38,7.53,0.18
3180,2.13,0.39,7.80,0.14
3210,2.27,0.33,8.03,0.15
3240,2.27,0.33,8.10,0.14
3270,2.27,0.33,8.13,0.12
3300,2.27,0.33,8.17,0.13
3330,2.27,0.33,8.20,0.14
3360,2.27,0.33,8.20,0.14
3390,2.27,0.33,8.20,0.14
3420,2.27,0.33,8.20,0.14
3450,2.30,0.36,8.33,0.17
3480,2.47,0.37,8.77,0.15
3510,2.53,0.37,8.90,0.14
3540,2.63,0.35,9.03,0.15
3570,2.70,0.37,9.13,0.12
3600,2.70,0.37,9.13,0.12

time +odiff>0:
1695.83 (+/- 228.18) min=953
+odiff_times=[1259, 953, 1912, 955, 1302, 1262, 1268, 2203, 1571, 2191, 960, 2293, 1606, 2221, 1571, 953, 1267, 955, 1886, 1641, 2189, 1922, 3191, 956, 2216, 1261, 3192, 962, 2534, 2223]
#odiffs=[3, 3, 1, 2, 3, 2, 3, 3, 3, 3, 4, 3, 3, 2, 3, 5, 4, 3, 2, 2, 1, 4, 1, 3, 2, 2, 2, 5, 3, 1]
#ddiffs=[9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9]
