seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,8.37,0.62,14.47,0.52
60,17.43,0.95,25.63,0.65
90,26.97,1.21,33.40,0.93
120,36.33,1.36,39.00,1.10
150,45.73,1.43,44.30,1.31
180,55.37,1.70,49.00,1.33
210,65.27,1.71,53.60,1.51
240,75.07,1.70,57.90,1.31
270,84.37,1.90,61.63,1.54
300,96.57,2.06,65.23,1.43
330,108.33,2.37,68.47,1.53
360,120.23,2.75,71.70,1.58
390,131.60,3.19,74.77,1.59
420,143.07,3.34,77.90,1.55
450,154.70,3.72,80.47,1.59
480,167.93,4.14,82.93,1.69
510,181.03,4.56,85.77,1.74
540,194.90,4.79,87.77,1.79
570,207.00,5.02,90.50,1.73
600,219.17,5.26,92.90,1.64

time +odiff>0:
6.93 (+/- 0.63) min=4
+odiff_times=[12, 6, 6, 9, 5, 8, 6, 8, 9, 5, 7, 5, 7, 7, 7, 5, 9, 10, 4, 7, 6, 5, 6, 6, 8, 5, 9, 6, 8, 7]
#odiffs=[201, 197, 232, 226, 233, 202, 225, 220, 218, 202, 239, 193, 206, 208, 211, 223, 246, 235, 236, 231, 206, 221, 206, 202, 246, 224, 234, 207, 223, 222]
#ddiffs=[94, 102, 96, 97, 94, 85, 89, 91, 91, 90, 98, 91, 99, 100, 95, 93, 88, 94, 96, 93, 91, 100, 92, 86, 90, 85, 87, 97, 96, 87]
