seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,2.00,0.00,3.00,0.00
60,2.00,0.00,3.00,0.00
90,2.00,0.00,3.00,0.00
120,2.00,0.00,3.00,0.00
150,2.00,0.00,3.00,0.00
180,2.00,0.00,3.00,0.00
210,2.00,0.00,3.00,0.00
240,2.00,0.00,3.00,0.00
270,2.00,0.00,3.00,0.00
300,2.00,0.00,3.00,0.00
330,2.00,0.00,3.00,0.00
360,2.00,0.00,3.00,0.00
390,2.00,0.00,3.00,0.00
420,2.00,0.00,3.00,0.00
450,2.00,0.00,3.00,0.00
480,2.00,0.00,3.00,0.00
510,2.00,0.00,3.00,0.00
540,2.00,0.00,3.00,0.00
570,2.00,0.00,3.00,0.00
600,2.00,0.00,3.00,0.00

time +odiff>0:
3.60 (+/- 0.18) min=3
+odiff_times=[3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
