seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.00,0.00,0.00,0.00
660,0.00,0.00,0.00,0.00
690,0.00,0.00,0.00,0.00
720,0.00,0.00,0.00,0.00
750,0.00,0.00,0.00,0.00
780,0.00,0.00,0.00,0.00
810,0.00,0.00,0.03,0.06
840,0.00,0.00,0.03,0.06
870,0.00,0.00,0.03,0.06
900,0.00,0.00,0.03,0.06
930,0.00,0.00,0.03,0.06
960,0.00,0.00,0.03,0.06
990,0.00,0.00,0.03,0.06
1020,0.00,0.00,0.03,0.06
1050,0.00,0.00,0.07,0.09
1080,0.00,0.00,0.07,0.09
1110,0.00,0.00,0.07,0.09
1140,0.00,0.00,0.07,0.09
1170,0.00,0.00,0.07,0.09
1200,0.13,0.12,0.53,0.20
1230,0.23,0.15,0.90,0.14
1260,0.23,0.15,1.00,0.09
1290,0.23,0.15,1.00,0.09
1320,0.23,0.15,1.03,0.06
1350,0.23,0.15,1.07,0.09
1380,0.23,0.15,1.07,0.09
1410,0.23,0.15,1.07,0.09
1440,0.23,0.15,1.07,0.09
1470,0.23,0.15,1.07,0.09
1500,0.23,0.15,1.07,0.09
1530,0.23,0.15,1.07,0.09
1560,0.23,0.15,1.07,0.09
1590,0.33,0.21,1.57,0.20
1620,0.37,0.22,1.70,0.19
1650,0.37,0.22,1.87,0.15
1680,0.37,0.22,1.93,0.13
1710,0.40,0.22,2.03,0.06
1740,0.40,0.22,2.07,0.09
1770,0.40,0.22,2.07,0.09
1800,0.40,0.22,2.07,0.09
1830,0.40,0.22,2.07,0.09
1860,0.40,0.22,2.07,0.09
1890,0.40,0.22,2.07,0.09
1920,0.40,0.22,2.07,0.09
1950,0.40,0.22,2.07,0.09
1980,0.47,0.22,2.43,0.20
2010,0.53,0.24,2.60,0.20
2040,0.53,0.24,2.83,0.16
2070,0.53,0.24,2.97,0.11
2100,0.57,0.24,3.03,0.11
2130,0.57,0.24,3.07,0.09
2160,0.57,0.24,3.07,0.09
2190,0.57,0.24,3.07,0.09
2220,0.57,0.24,3.07,0.09
2250,0.57,0.24,3.07,0.09
2280,0.57,0.24,3.07,0.09
2310,0.57,0.24,3.07,0.09
2340,0.57,0.24,3.07,0.09
2370,0.60,0.27,3.30,0.19
2400,0.67,0.28,3.53,0.20
2430,0.67,0.28,3.70,0.19
2460,0.70,0.28,3.87,0.15
2490,0.70,0.28,3.93,0.13
2520,0.70,0.28,4.07,0.09
2550,0.70,0.28,4.07,0.09
2580,0.70,0.28,4.07,0.09
2610,0.70,0.28,4.07,0.09
2640,0.70,0.28,4.07,0.09
2670,0.70,0.28,4.07,0.09
2700,0.70,0.28,4.07,0.09
2730,0.70,0.28,4.07,0.09
2760,0.77,0.32,4.27,0.18
2790,0.83,0.31,4.43,0.20
2820,0.83,0.31,4.57,0.20
2850,0.97,0.35,4.77,0.18
2880,1.00,0.35,4.90,0.14
2910,1.00,0.35,4.97,0.11
2940,1.00,0.35,5.07,0.09
2970,1.00,0.35,5.07,0.09
3000,1.00,0.35,5.07,0.09
3030,1.00,0.35,5.07,0.09
3060,1.00,0.35,5.07,0.09
3090,1.00,0.35,5.07,0.09
3120,1.00,0.35,5.07,0.09
3150,1.00,0.35,5.13,0.12
3180,1.07,0.36,5.37,0.17
3210,1.10,0.36,5.47,0.18
3240,1.10,0.36,5.67,0.19
3270,1.10,0.36,5.80,0.17
3300,1.13,0.35,5.93,0.13
3330,1.13,0.35,6.00,0.09
3360,1.13,0.35,6.03,0.11
3390,1.13,0.35,6.03,0.11
3420,1.13,0.35,6.07,0.09
3450,1.13,0.35,6.07,0.09
3480,1.13,0.35,6.07,0.09
3510,1.13,0.35,6.10,0.11
3540,1.13,0.35,6.13,0.12
3570,1.20,0.34,6.30,0.16
3600,1.23,0.37,6.47,0.18

time +odiff>0:
2402.97 (+/- 329.59) min=1189
+odiff_times=[2100, 1194, 3600, 1202, 3276, 3600, 3600, 3549, 3600, 1586, 2776, 2447, 2869, 1210, 1593, 3600, 1194, 2735, 1959, 2393, 1972, 1683, 1193, 2826, 2781, 1189, 3600, 1202, 2000, 3560]
#odiffs=[1, 1, 0, 3, 1, 0, 0, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 4, 1, 2, 4, 0, 2, 1, 1]
#ddiffs=[7, 6, 7, 6, 6, 6, 6, 7, 6, 6, 7, 6, 6, 7, 7, 6, 6, 7, 7, 7, 7, 6, 7, 6, 7, 7, 6, 6, 6, 7]
