seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.03,0.06,0.07,0.09
60,0.17,0.13,0.30,0.19
90,0.47,0.18,1.07,0.24
120,0.47,0.18,1.23,0.26
150,0.90,0.11,1.87,0.20
180,1.00,0.00,2.03,0.17
210,1.00,0.00,2.13,0.15
240,1.00,0.00,2.80,0.19
270,1.00,0.00,3.17,0.13
300,1.00,0.00,3.37,0.17
330,1.00,0.00,3.60,0.27
360,1.00,0.00,3.80,0.33
390,1.00,0.00,3.93,0.34
420,1.00,0.00,4.10,0.36
450,1.00,0.00,4.33,0.36
480,1.00,0.00,4.40,0.36
510,1.00,0.00,4.47,0.34
540,1.00,0.00,4.47,0.34
570,1.00,0.00,4.57,0.34
600,1.00,0.00,4.67,0.40

time +odiff>0:
49.87 (+/- 5.48) min=29
+odiff_times=[44, 71, 80, 70, 62, 47, 49, 46, 47, 29, 30, 30, 67, 66, 31, 56, 44, 65, 30, 31, 31, 66, 50, 63, 64, 30, 55, 48, 32, 62]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'alf=spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf']
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[6, 4, 4, 5, 4, 6, 6, 6, 6, 3, 5, 4, 4, 4, 5, 4, 4, 8, 5, 4, 3, 6, 4, 4, 6, 4, 4, 4, 4, 4]
