seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,1.00,0.00,1.00,0.00
60,1.00,0.00,1.00,0.00
90,1.00,0.00,1.00,0.00
120,1.00,0.00,1.00,0.00
150,1.00,0.00,1.50,0.18
180,1.00,0.00,2.00,0.00
210,1.00,0.00,2.83,0.13
240,1.00,0.00,3.00,0.00
270,1.00,0.00,3.00,0.00
300,1.00,0.00,3.00,0.00
330,1.00,0.00,3.00,0.00
360,1.00,0.00,3.00,0.00
390,1.00,0.00,3.00,0.00
420,1.00,0.00,3.00,0.00
450,1.00,0.00,3.00,0.00
480,1.00,0.00,3.00,0.00
510,1.00,0.00,3.00,0.00
540,1.00,0.00,3.00,0.00
570,1.00,0.00,3.00,0.00
600,1.00,0.00,3.00,0.00

time +odiff>0:
22.47 (+/- 0.39) min=21
+odiff_times=[21, 23, 22, 24, 24, 22, 23, 21, 23, 22, 21, 24, 22, 22, 22, 22, 24, 22, 23, 23, 22, 23, 21, 22, 22, 24, 25, 21, 21, 23]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
